rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
76th,Hartland,36.0,5.8,66.2,24.26,24.26,7,0.0,0.5,0.5,1.25,0.5,0.5,1.25,1.25,Singles F1: 143rd; Singles F2: 115th; Singles F3: 88th; Singles F4: 37th; Doubles F1: 101st; Doubles F2: 113th; Doubles F3: 60th; Doubles F4: 48th
77th,Plymouth,35.9,5.8,66.1,27.16,27.16,7,0.5,0.5,0.5,1.25,0.5,1.25,1.25,0.0,Singles F1: 127th; Singles F2: 95th; Singles F3: 79th; Singles F4: 47th; Doubles F1: 103rd; Doubles F2: 60th; Doubles F3: 33rd; Doubles F4: 164th
78th,Grand Rapids Catholic Central,35.8,4.8,66.9,28.3,28.3,8,0.5,0.5,0.5,0.5,0.5,1.25,0.5,0.5,Singles F1: 95th; Singles F2: 128th; Singles F3: 73rd; Singles F4: 99th; Doubles F1: 85th; Doubles F2: 57th; Doubles F3: 71st; Doubles F4: 84th
79th,Hudsonville,35.7,6.5,64.8,31.09,31.09,5,3.0,1.25,0.0,0.5,0.0,0.0,1.25,0.5,Singles F1: 29th; Singles F2: 52nd; Singles F3: 205th; Singles F4: 68th; Doubles F1: 142nd; Doubles F2: 133rd; Doubles F3: 39th; Doubles F4: 66th
80th,Grand Blanc,35.3,5.0,65.6,24.13,24.13,7,0.5,0.5,0.0,1.25,1.25,0.5,0.5,0.5,Singles F1: 70th; Singles F2: 72nd; Singles F3: 150th; Singles F4: 46th; Doubles F1: 48th; Doubles F2: 114th; Doubles F3: 90th; Doubles F4: 127th
81st,Sparta,35.3,4.0,66.6,23.98,23.98,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Singles F1: 105th; Singles F2: 79th; Singles F3: 77th; Singles F4: 86th; Doubles F1: 92nd; Doubles F2: 98th; Doubles F3: 76th; Doubles F4: 85th
82nd,Zeeland West,35.1,5.0,65.3,29.5,29.5,7,0.5,0.5,1.25,0.5,0.0,0.5,1.25,0.5,Singles F1: 111th; Singles F2: 74th; Singles F3: 46th; Singles F4: 108th; Doubles F1: 141st; Doubles F2: 75th; Doubles F3: 45th; Doubles F4: 125th
83rd,St. Johns,34.6,7.5,61.7,25.5,25.5,6,5.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,Singles F1: 16th; Singles F2: 135th; Singles F3: 100th; Singles F4: 160th; Doubles F1: 74th; Doubles F2: 108th; Doubles F3: 79th; Doubles F4: 126th
84th,Southgate Anderson,34.6,5.5,63.8,26.54,26.54,8,1.25,0.5,1.25,0.5,0.5,0.5,0.5,0.5,Singles F1: 49th; Singles F2: 118th; Singles F3: 51st; Singles F4: 113th; Doubles F1: 112th; Doubles F2: 77th; Doubles F3: 116th; Doubles F4: 120th
85th,Kalamazoo Christian,34.4,3.8,65.0,24.34,24.34,6,0.0,0.0,0.5,0.5,1.25,0.5,0.5,0.5,Singles F1: 145th; Singles F2: 141st; Singles F3: 71st; Singles F4: 82nd; Doubles F1: 43rd; Doubles F2: 88th; Doubles F3: 82nd; Doubles F4: 79th
86th,Midland,34.3,4.0,64.6,24.54,24.54,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Singles F1: 87th; Singles F2: 67th; Singles F3: 107th; Singles F4: 73rd; Doubles F1: 117th; Doubles F2: 116th; Doubles F3: 80th; Doubles F4: 91st
87th,East Kentwood,34.2,5.5,62.8,25.43,25.43,5,1.25,0.0,1.25,0.5,1.25,0.0,0.0,1.25,Singles F1: 56th; Singles F2: 156th; Singles F3: 36th; Singles F4: 97th; Doubles F1: 41st; Doubles F2: 178th; Doubles F3: 147th; Doubles F4: 64th
88th,Coopersville,34.2,4.2,64.1,21.34,21.34,7,0.0,0.5,0.5,0.5,1.25,0.5,0.5,0.5,Singles F1: 177th; Singles F2: 80th; Singles F3: 112th; Singles F4: 96th; Doubles F1: 60th; Doubles F2: 71st; Doubles F3: 77th; Doubles F4: 75th
89th,Lake Orion,34.2,4.2,64.1,26.6,26.6,7,0.5,0.5,1.25,0.0,0.5,0.5,0.5,0.5,Singles F1: 65th; Singles F2: 84th; Singles F3: 43rd; Singles F4: 163rd; Doubles F1: 90th; Doubles F2: 127th; Doubles F3: 89th; Doubles F4: 89th
